Code	Vertaling	CQL
462	Pron(refl,2,sing)	pos=VNW, feat.vwtype=refl, feat.getal=ev, feat.persoon=2
463	Pron(refl,3,sing)	pos=VNW, feat.vwtype=refl, feat.getal=ev, feat.persoon=3
464	Pron(refl,1,plu)	pos=VNW, feat.vwtype=refl, feat.getal=mv, feat.persoon=1
465	Pron(refl,2,plu)	pos=VNW, feat.vwtype=refl, feat.getal=mv, feat.persoon=2
466	Pron(refl,3,plu)	pos=VNW, feat.vwtype=refl, feat.getal=mv, feat.persoon=3
470	Art(def)	pos=LID
471	Art(def,forme)	pos=LID, feat.form=-e
472	Art(def,forms)	pos=LID, feat.form=-s/-th
473	Art(def,formt)	pos=LID, feat.form=-t
474	Art(def,formn)	pos=LID, feat.form=-n
475	Art(def,formr)	pos=LID, feat.form=-r/-re
480	Art(indef)	pos=LID
481	Art(indef,forme)	pos=LID, feat.form=-e
482	Art(indef,forms)	pos=LID, feat.form=-s/-th
484	Art(indef,formn)	pos=LID, feat.form=-n
485	Art(indef,formr)	pos=LID, feat.form=-r/-re
500	Adv(gener)	pos=BW
510	Adv(dem)	pos=BW
520	Adv(rel)	pos=BW
530	Adv(inter)	pos=BW
540	Adv(indef)	pos=BW
550	Adv(resum)	pos=BW
560	Adv(neg)	pos=BW
605	PronAdv(pers)	pos=BW, feat.form=-r/-re
615	PronAdv(dem)	pos=BW, feat.form=-r/-re
625	PronAdv(rel)	pos=BW, feat.form=-r/-re
635	PronAdv(inter)	pos=BW, feat.form=-r/-re
645	PronAdv(indef)	pos=BW, feat.form=-r/-re
655	PronAdv(prep)	pos=BW, feat.form=-r/-re
700	Adp()	pos=VZ
800	Conj(coord)	pos=VG
810	Conj(subord)	pos=VG
820	Conj(comp)	pos=VG
840	Conj(alse)	pos=VG
910	Misc(latin)	
920	Disc(latin)	
999	Problem	feat.probleemgeval
Punc(ldk)	Punc(gcomma)	
Punc(ldp)	Punc(colon)	
Punc(lk)	Punc(comma)	
Punc(lp)	Punc(period)	
Punc(ls)	Punc(hyph)	
Punc(lsc)	Punc(semicolon)	
Punc(lt)	Punc(tilde)	
Punc(lv)	Punc(other)	
Punc(lx)	Misc(unrdbl)	
